#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
  136.8  2.468E+10  6.139E+10  7.624E+09  4.105E+07
  137.4  2.395E+10  5.866E+10  7.240E+09  4.105E+07
  138.0  2.324E+10  5.609E+10  6.880E+09  4.102E+07
  138.6  2.257E+10  5.366E+10  6.541E+09  4.096E+07
  139.2  2.193E+10  5.136E+10  6.223E+09  4.087E+07
  139.8  2.130E+10  4.917E+10  5.923E+09  4.075E+07
  140.4  2.071E+10  4.711E+10  5.641E+09  4.061E+07
  141.0  2.013E+10  4.514E+10  5.376E+09  4.045E+07
  141.6  1.958E+10  4.328E+10  5.125E+09  4.028E+07
  142.2  1.904E+10  4.151E+10  4.889E+09  4.009E+07
  142.8  1.853E+10  3.983E+10  4.665E+09  3.988E+07
  143.4  1.803E+10  3.824E+10  4.454E+09  3.967E+07
  144.0  1.756E+10  3.672E+10  4.254E+09  3.945E+07
  144.6  1.709E+10  3.527E+10  4.065E+09  3.921E+07
  145.2  1.665E+10  3.389E+10  3.886E+09  3.898E+07
  145.8  1.622E+10  3.258E+10  3.716E+09  3.873E+07
  146.4  1.581E+10  3.132E+10  3.555E+09  3.849E+07
  147.0  1.540E+10  3.013E+10  3.402E+09  3.824E+07
  147.6  1.502E+10  2.899E+10  3.257E+09  3.799E+07
  148.2  1.464E+10  2.790E+10  3.120E+09  3.774E+07
  148.8  1.428E+10  2.686E+10  2.989E+09  3.749E+07
  149.4  1.393E+10  2.587E+10  2.864E+09  3.724E+07
  150.0  1.359E+10  2.492E+10  2.746E+09  3.699E+07
  150.6  1.326E+10  2.401E+10  2.633E+09  3.674E+07
  151.2  1.295E+10  2.314E+10  2.526E+09  3.649E+07
  151.8  1.264E+10  2.231E+10  2.423E+09  3.624E+07
  152.4  1.234E+10  2.151E+10  2.326E+09  3.600E+07
  153.0  1.205E+10  2.074E+10  2.233E+09  3.576E+07
  153.6  1.177E+10  2.001E+10  2.144E+09  3.552E+07
  154.2  1.150E+10  1.931E+10  2.060E+09  3.528E+07
  154.8  1.123E+10  1.864E+10  1.979E+09  3.505E+07
  155.4  1.098E+10  1.799E+10  1.902E+09  3.482E+07
  156.0  1.073E+10  1.737E+10  1.828E+09  3.459E+07
  156.6  1.049E+10  1.678E+10  1.758E+09  3.436E+07
  157.2  1.026E+10  1.621E+10  1.690E+09  3.414E+07
  157.8  1.003E+10  1.566E+10  1.626E+09  3.392E+07
  158.4  9.807E+09  1.513E+10  1.564E+09  3.371E+07
  159.0  9.592E+09  1.462E+10  1.505E+09  3.349E+07
  159.6  9.383E+09  1.414E+10  1.449E+09  3.328E+07
  160.2  9.180E+09  1.365E+10  1.395E+09  3.307E+07
  160.8  8.983E+09  1.320E+10  1.343E+09  3.287E+07
  161.4  8.791E+09  1.277E+10  1.293E+09  3.267E+07
  162.0  8.604E+09  1.235E+10  1.246E+09  3.247E+07
  162.6  8.422E+09  1.195E+10  1.200E+09  3.227E+07
  163.2  8.245E+09  1.156E+10  1.156E+09  3.208E+07
  163.8  8.073E+09  1.119E+10  1.114E+09  3.188E+07
  164.4  7.905E+09  1.083E+10  1.074E+09  3.169E+07
  165.0  7.742E+09  1.049E+10  1.035E+09  3.151E+07
  165.6  7.583E+09  1.015E+10  9.982E+08  3.132E+07
  166.2  7.428E+09  9.833E+09  9.626E+08  3.114E+07
  166.8  7.276E+09  9.524E+09  9.283E+08  3.096E+07
  167.4  7.129E+09  9.225E+09  8.955E+08  3.079E+07
  168.0  6.985E+09  8.937E+09  8.639E+08  3.061E+07
  168.6  6.845E+09  8.659E+09  8.335E+08  3.044E+07
  169.2  6.709E+09  8.391E+09  8.044E+08  3.027E+07
  169.8  6.576E+09  8.132E+09  7.763E+08  3.010E+07
  170.4  6.446E+09  7.882E+09  7.493E+08  2.994E+07
  171.0  6.319E+09  7.640E+09  7.234E+08  2.977E+07
  171.6  6.195E+09  7.407E+09  6.984E+08  2.961E+07
  172.2  6.074E+09  7.182E+09  6.744E+08  2.945E+07
  172.8  5.956E+09  6.964E+09  6.513E+08  2.929E+07
  173.4  5.841E+09  6.754E+09  6.291E+08  2.913E+07
  174.0  5.729E+09  6.550E+09  6.076E+08  2.898E+07
  174.6  5.619E+09  6.354E+09  5.870E+08  2.883E+07
  175.2  5.512E+09  6.164E+09  5.671E+08  2.868E+07
  175.8  5.407E+09  5.980E+09  5.480E+08  2.853E+07
  176.4  5.304E+09  5.802E+09  5.296E+08  2.838E+07
  177.0  5.204E+09  5.630E+09  5.118E+08  2.823E+07
  177.6  5.107E+09  5.464E+09  4.947E+08  2.809E+07
  178.2  5.011E+09  5.303E+09  4.782E+08  2.795E+07
  178.8  4.918E+09  5.147E+09  4.623E+08  2.781E+07
